Entity,SOP,SubSOP,Module_Name,Parent_Context
PALCO,ISM,01_Service Order Process,13_Invoicing in ISM,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 01_Service Order Process
PALCO,ISM,02_Rental Process,02_Add Rental Items,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 02_Rental Process
PALCO,ISM,07_Tech Mobile,05_Close Appointment,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 07_Tech Mobile
PALCO,SALES,Palco Specific Sales,03_Add Lump Sum,CSD > Document Library > PALCO POWER SYSTEMS > SALES > Palco Specific Sales
PALCO,START UP,,02_Print Pick Ticket,CSD > Document Library > PALCO POWER SYSTEMS > START UP
PALCO,ISM,04_ISM Set Up,06_Create a Warranty Code,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 04_ISM Set Up
Scott Electric Distribution,FINANCIAL,,Quiz Level 2 | Accounts Receivable,CSD > Document Library > FINANCIAL
Scott Electric Distribution,OPERATIONS,02_Warehouse,09.3_Run Results Report in ICEPW,CSD > Document Library > OPERATIONS > 02_Warehouse > 01_Physical or Cycle Count to Count Update
Scott Electric Distribution,PRICING,,10A_PDEC - Individual Stock Item Price Update Manually,CSD > Document Library > PRICING
Scott Electric Distribution,PRICING,,08F_ICSEC Upgrade,CSD > Document Library > PRICING
Scott Electric Distribution,PURCHASING,06_Demand Tasks (DEM),04_Generate IC Admin Inventory Classification and Rank Report,CSD > Document Library > PURCHASING > 06_Demand Tasks (DEM)
Scott Electric Distribution,PRICING,,04_ SASTT - Product Price Type & PDSP -Customer Type/Product Type,CSD > Document Library > PRICING
Scott Electric Distribution,OPERATIONS,02_Warehouse,10_Add Items to a Count During Count Entry,CSD > Document Library > OPERATIONS > 02_Warehouse > 01_Physical or Cycle Count to Count Update
Scott Electric Distribution,z_PLAYGROUND,,LMS Exercise Test,CSD > Document Library > z_PLAYGROUND
Scott Electric Distribution,FINANCIAL,Accounts Receivable,17_Payment Reversal,CSD > Document Library > FINANCIAL > Accounts Receivable > 02_Quote to Cash
Scott Electric Distribution,SALES,03_Order Review,04_View Units of Measure,CSD > Document Library > SALES > 03_Order Review
Scott Electric Distribution,z_PLAYGROUND,,CREATE INCIDENT,CSD > Document Library > z_PLAYGROUND
Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,06_Accept Replenishments,CSD > Document Library > PURCHASING > 02_Replinishment Action Report Tasks
Scott Electric Distribution,PRICING,,11E_PDSP - Level 3 - Customer Type/Product (SPEC.),CSD > Document Library > PRICING
Scott Electric Distribution,z_PLAYGROUND,,Shims Stock Order Inquiry 2,CSD > Document Library > z_PLAYGROUND
Scott Electric Distribution,OPERATIONS,02_Warehouse,07_Edit Entered Counts,CSD > Document Library > OPERATIONS > 02_Warehouse > 01_Physical or Cycle Count to Count Update
Scott Electric Distribution,FINANCIAL,Accounts Payable,24_Process Payable Invoice,CSD > Document Library > FINANCIAL > Accounts Payable > 02_Basic AP Process
Scott Electric Distribution,PRICING,,01_OEET Entering a Stock Customer Sales Order,CSD > Document Library > PRICING
Scott Electric Distribution,SALES,02_Order Modification,03_Enter Stock Sales Order and Change Line Items,CSD > Document Library > SALES > 02_Order Modification
PALCO,ISM,07_Tech Mobile,04_Travel Leaving Site,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 07_Tech Mobile
Scott Electric Distribution,FINANCIAL,Accounts Payable,16_Enter Trade Invoice - Reconcile Against Multiple POs,CSD > Document Library > FINANCIAL > Accounts Payable > 02_Basic AP Process
PALCO,START UP,,04_Create a Start Up Incident,CSD > Document Library > PALCO POWER SYSTEMS > START UP
PALCO,FINANCIAL,ACCOUNTS PAYABLE,01_Create Invoice Process Group,CSD > Document Library > PALCO POWER SYSTEMS > FINANCIAL > ACCOUNTS PAYABLE > 02_Basic AP Process
Scott Electric Distribution,OPERATIONS,02_Warehouse,05_Perform Shipping Feedback to Ship Order,CSD > Document Library > OPERATIONS > 02_Warehouse > 02_Shipping Sales Orders
Scott Electric Distribution,PRICING,,11B_PDSP - Level 2 - Customer/Product Price Type,CSD > Document Library > PRICING
PALCO,ISM,02_Rental Process,06_Print Re Rent PO,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 02_Rental Process
Scott Electric Distribution,FINANCIAL,Accounts Receivable,01_Customer Setup,CSD > Document Library > FINANCIAL > Accounts Receivable > 01_Basic Setup
Scott Electric Distribution,PRICING,,07_ICSC - Creating a Catalog Item,CSD > Document Library > PRICING
Scott Electric Distribution,SALES,07_Wire Order Placement,01_Wire Order Placement,CSD > Document Library > SALES > 07_Wire Order Placement
Scott Electric Distribution,PJM,01_Basic Bidding Process,06_Add Vendor Details to Project Entry,CSD > Document Library > PJM > 01_Basic Bidding Process
Scott Electric Distribution,z_PLAYGROUND,,create a stock order,CSD > Document Library > z_PLAYGROUND
PALCO,SALES,Palco Specific Sales,06_Print Pick Ticket,CSD > Document Library > PALCO POWER SYSTEMS > SALES > Palco Specific Sales
PALCO,ISM,01_Service Order Process,04_Quick Create SRO,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 01_Service Order Process
Scott Electric Distribution,PRICING,,15B_SAAMM - Mass Maintenance Import,CSD > Document Library > PRICING
Scott Electric Distribution,PURCHASING,04_PO Print to Receipt,01_Purchase Order Submit PO to Vendor,CSD > Document Library > PURCHASING > 04_PO Print to Receipt
PALCO,ISM,01_Service Order Process,08_Add a Non-Stock,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 01_Service Order Process
Scott Electric Distribution,Basics,,CSD Basics,CSD > Document Library > Basics
Scott Electric Distribution,PURCHASING,06.5_Run Reports,02_Print Inventory Turnover Report,CSD > Document Library > PURCHASING > 06.5_Run Reports
Scott Electric Distribution,PURCHASING,08_Miscellaneous,09_Correcting a Wrong Product Receipt,CSD > Document Library > PURCHASING > 08_Miscellaneous
Scott Electric Distribution,PURCHASING,,Quiz Level 2 | Purchasing,CSD > Document Library > PURCHASING
Scott Electric Distribution,PURCHASING,06_Demand Tasks (DEM),03_Generate IC Admin Review Cycle Adjustment Report,CSD > Document Library > PURCHASING > 06_Demand Tasks (DEM)
Scott Electric Distribution,SALES,04_Order Copying and Conversion,02_Copy Customer Sales Order,CSD > Document Library > SALES > 04_Order Copying and Conversion
Scott Electric Distribution,OPERATIONS,00_Basic Warehouse,002_INQUIRE ON PRODUCT AVAILABILITY,CSD > Document Library > OPERATIONS > 00_Basic Warehouse
Scott Electric Distribution,OPERATIONS,02_Warehouse,04_Enter the Count into CSD Using Count Entry Function,CSD > Document Library > OPERATIONS > 02_Warehouse > 01_Physical or Cycle Count to Count Update
Scott Electric Distribution,FINANCIAL,Accounts Payable,06_Change Payment to Split Payment Schedule,CSD > Document Library > FINANCIAL > Accounts Payable > 02_Basic AP Process
Scott Electric Distribution,OPERATIONS,02_Warehouse,07_Unship an Order,CSD > Document Library > OPERATIONS > 02_Warehouse > 02_Shipping Sales Orders
Scott Electric Distribution,FINANCIAL,Accounts Payable,21_Print Checks,CSD > Document Library > FINANCIAL > Accounts Payable > 02_Basic AP Process
Scott Electric Distribution,PURCHASING,07_Warehouse Transfers,02_Approving a Warehouse Transfer That is on Hold,CSD > Document Library > PURCHASING > 07_Warehouse Transfers
Scott Electric Distribution,OPERATIONS,00_Basic Warehouse,01_Product Inquiry,CSD > Document Library > OPERATIONS > 00_Basic Warehouse
PALCO,FINANCIAL,GENERAL LEDGER,05_Account Inquiry and Report,CSD > Document Library > PALCO POWER SYSTEMS > FINANCIAL > GENERAL LEDGER > 01_Setup of General Ledger
PALCO,ISM,07_Tech Mobile,02_Perform Site Work,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 07_Tech Mobile
Scott Electric Distribution,PJM,01_Basic Bidding Process,05_Add Bidder Details to Project Entry,CSD > Document Library > PJM > 01_Basic Bidding Process
Scott Electric Distribution,FINANCIAL,Accounts Receivable,10_Apply Payment with Unearned Discount,CSD > Document Library > FINANCIAL > Accounts Receivable > 02_Quote to Cash
Scott Electric Distribution,SALES,,sales order example,CSD > Document Library > SALES
PALCO,SALES,Palco Specific Sales,09_Create Order as Needed Non Stock,CSD > Document Library > PALCO POWER SYSTEMS > SALES > Palco Specific Sales
PALCO,SALES,Palco Specific Sales,02_Add Items,CSD > Document Library > PALCO POWER SYSTEMS > SALES > Palco Specific Sales
PALCO,ISM,08_PMA Service Orders,01_Create PMA Contract,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 08_PMA Service Orders
PALCO,START UP,,07_Schedule,CSD > Document Library > PALCO POWER SYSTEMS > START UP
Scott Electric Distribution,PURCHASING,06.5_Run Reports,05_Print Surplus Stock Report,CSD > Document Library > PURCHASING > 06.5_Run Reports
PALCO,SALES,Palco Specific Sales,05_Run OEEPC,CSD > Document Library > PALCO POWER SYSTEMS > SALES > Palco Specific Sales
Scott Electric Distribution,z_PLAYGROUND,,Introduction to CSD,CSD > Document Library > z_PLAYGROUND
PALCO,ISM,04_ISM Set Up,09_Contract Service Template PMA,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 04_ISM Set Up
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,03.5_Perform Lookups in a PO,CSD > Document Library > PURCHASING > 01_Purchase Order Entry to Print
PALCO,ISM,03_Warranty Process,06_ISM Invoice,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 03_Warranty Process
Scott Electric Distribution,SALES,02_Order Modification,06_Suspend an Order,CSD > Document Library > SALES > 02_Order Modification
PALCO,START UP,,08_Register Unit,CSD > Document Library > PALCO POWER SYSTEMS > START UP
Scott Electric Distribution,PJM,01_Basic Bidding Process,02_Verify Customer Eligibility,CSD > Document Library > PJM > 01_Basic Bidding Process
Scott Electric Distribution,FINANCIAL,Accounts Receivable,22_Run Credit Card Receive on Account,CSD > Document Library > FINANCIAL > Accounts Receivable > 02_Quote to Cash
Scott Electric Distribution,PRICING,,11C_PDSP - Level 2 - Customer/Product Line,CSD > Document Library > PRICING
PALCO,ISM,02_Rental Process,09_Check In Rental,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 02_Rental Process
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,05_Locate PO Using PO Inquiry,CSD > Document Library > PURCHASING > 01_Purchase Order Entry to Print
Scott Electric Distribution,SALES,02_Order Modification,05_Manually Apply Hold and Approve Held Order,CSD > Document Library > SALES > 02_Order Modification
PALCO,SALES,03_Order Review,"02_Review Taxes, Totals, Payments for Stock Customer Sales Order",CSD > Document Library > PALCO POWER SYSTEMS > SALES > 03_Order Review
Scott Electric Distribution,PURCHASING,08_Miscellaneous,02_Determining Extra Stock to Order,CSD > Document Library > PURCHASING > 08_Miscellaneous
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,06_Change PO,CSD > Document Library > PURCHASING > 01_Purchase Order Entry to Print
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,04_Finish the Purchase Order,CSD > Document Library > PURCHASING > 01_Purchase Order Entry to Print
Scott Electric Distribution,PURCHASING,04_PO Print to Receipt,02_Purchase Order Maintain PO,CSD > Document Library > PURCHASING > 04_PO Print to Receipt
PALCO,SALES,Palco Specific Sales,01_Create a Blanket Order,CSD > Document Library > PALCO POWER SYSTEMS > SALES > Palco Specific Sales
Scott Electric Distribution,PURCHASING,05_Return Merchandise PO to Shipment,01_Initiate Vendor Return,CSD > Document Library > PURCHASING > 05_Return Merchandise PO to Shipment
PALCO,SALES,02_Order Modification,01_Add Items to Stock Customer Sales Order,CSD > Document Library > PALCO POWER SYSTEMS > SALES > 02_Order Modification
Scott Electric Distribution,FINANCIAL,Accounts Receivable,19_Refund Customer via Check,CSD > Document Library > FINANCIAL > Accounts Receivable > 02_Quote to Cash
Scott Electric Distribution,FINANCIAL,Accounts Payable,13_Enter Trade Invoice - PO Matches,CSD > Document Library > FINANCIAL > Accounts Payable > 02_Basic AP Process
Scott Electric Distribution,FINANCIAL,Accounts Receivable,24_Tax Adjustment Correction,CSD > Document Library > FINANCIAL > Accounts Receivable > 02_Quote to Cash
Scott Electric Distribution,FINANCIAL,Accounts Receivable,03_Short Pay with Sales Tax,CSD > Document Library > FINANCIAL > Accounts Receivable > 03_Account Adjustments and Corrections
PALCO,ISM,07_Tech Mobile,03_Add Material,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 07_Tech Mobile
PALCO,ISM,06_Register a Unit,01_Create a Customer Unit,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 06_Register a Unit
Scott Electric Distribution,FINANCIAL,Accounts Receivable,06_Apply Payment to Multiple Invoices,CSD > Document Library > FINANCIAL > Accounts Receivable > 02_Quote to Cash
Scott Electric Distribution,z_PLAYGROUND,,Quiz Level 2 | Sales,CSD > Document Library > z_PLAYGROUND
Scott Electric Distribution,PURCHASING,06_Demand Tasks (DEM),01_View Consolidation Info in Demand Center,CSD > Document Library > PURCHASING > 06_Demand Tasks (DEM)
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,09_Print PO,CSD > Document Library > PURCHASING > 01_Purchase Order Entry to Print
PALCO,ISM,04_ISM Set Up,02_Partners Schedule Set Up,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 04_ISM Set Up
PALCO,ISM,07_Tech Mobile,06_Change Status to Call Back,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 07_Tech Mobile
Scott Electric Distribution,PRICING,,08G_ICSEC Customer Part Number,CSD > Document Library > PRICING
Scott Electric Distribution,FINANCIAL,Accounts Receivable,12_Apply Credit to Invoice,CSD > Document Library > FINANCIAL > Accounts Receivable > 02_Quote to Cash
Scott Electric Distribution,OPERATIONS,02_Warehouse,05_Run the Reconciliation Report,CSD > Document Library > OPERATIONS > 02_Warehouse > 01_Physical or Cycle Count to Count Update
Scott Electric Distribution,PRICING,,11I_PDSP - Level 7 - Product (PROMOTION),CSD > Document Library > PRICING
Scott Electric Distribution,FINANCIAL,Credit,04_Perform a Credit Review on a Customer Account,CSD > Document Library > FINANCIAL > Credit
Scott Electric Distribution,PJM,04_Customer Quote Creation,01_Organize Vendor Quote in Excel for Upload,CSD > Document Library > PJM > 04_Customer Quote Creation
Scott Electric Distribution,PJM,01_Basic Bidding Process,04_View Job in Bidding Calendar,CSD > Document Library > PJM > 01_Basic Bidding Process
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,03_Purchase Order Apply Add Ons and Discounts,CSD > Document Library > PURCHASING > 01_Purchase Order Entry to Print
PALCO,ISM,04_ISM Set Up,05_Create an SRO Template,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 04_ISM Set Up
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,07_Copy PO,CSD > Document Library > PURCHASING > 01_Purchase Order Entry to Print
Scott Electric Distribution,PRICING,,14_PDEM - Price and Discounting Mass Maintenance Entry,CSD > Document Library > PRICING
PALCO,ISM,06_Register a Unit,02_Add a Warranty to a Unit,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 06_Register a Unit
Scott Electric Distribution,PRICING,,03_SASTT Creating a Price Class,CSD > Document Library > PRICING
Scott Electric Distribution,FINANCIAL,Accounts Receivable,01_Enter an Invoice,CSD > Document Library > FINANCIAL > Accounts Receivable > 02_Quote to Cash
Scott Electric Distribution,PURCHASING,06.5_Run Reports,04_Print Gap Report,CSD > Document Library > PURCHASING > 06.5_Run Reports
Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,11_Merge POs_Print POs_Genrerate Exception Report,CSD > Document Library > PURCHASING > 02_Replinishment Action Report Tasks
Scott Electric Distribution,PRICING,,05_ICSL - Creating a Product Line,CSD > Document Library > PRICING
Scott Electric Distribution,PJM,04_Customer Quote Creation,03_Create the Customer Quote,CSD > Document Library > PJM > 04_Customer Quote Creation
PALCO,ISM,03_Warranty Process,01_Filter Working Status,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 03_Warranty Process
PALCO,SALES,03_Order Review,04_View Units of Measure,CSD > Document Library > PALCO POWER SYSTEMS > SALES > 03_Order Review
PALCO,START UP,,03_Shipping Feedback for Start Up,CSD > Document Library > PALCO POWER SYSTEMS > START UP
Scott Electric Distribution,PRICING,,10B_ICSC - Individual Catalog Item Price Update Manually,CSD > Document Library > PRICING
Scott Electric Distribution,SALES,02_Order Modification,02_Adjust Line Items,CSD > Document Library > SALES > 02_Order Modification
