RoleName,Entity,SOP,SubSOP,Coverage
CORE_MNS,Scott Electric Distribution,SALES,01_Order Entry,ALL
CORE_MNS,Scott Electric Distribution,SALES,02_Order Modification,ALL
CORE_MNS,Scott Electric Distribution,SALES,03_Order Review,ALL
CORE_MNS,Scott Electric Distribution,SALES,04_Order Copying and Conversion,ALL
CORE_MNS,Scott Electric Distribution,SALES,05_Product Management,ALL
CORE_MNS,Scott Electric Distribution,SALES,06_Lookup and Inquiry,ALL
CORE_MNS,Scott Electric Distribution,SALES,07_Wire Order Placement,ALL
CORE_MNS,Scott Electric Distribution,SALES,BATTERY,ALL
Counter,Scott Electric Distribution,Basics,,ALL
Counter,Scott Electric Distribution,PJM,01_Basic Bidding Process,NONE
Counter,Scott Electric Distribution,PJM,04_Customer Quote Creation,NONE
Counter,Scott Electric Distribution,PURCHASING,,ALL
Counter,Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,ALL
Counter,Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,ALL
Counter,Scott Electric Distribution,PURCHASING,03_Basic Product Line Setup,ALL
Counter,Scott Electric Distribution,PURCHASING,04_PO Print to Receipt,ALL
Counter,Scott Electric Distribution,SALES,,ALL
Counter,Scott Electric Distribution,SALES,01_Order Entry,ALL
Counter,Scott Electric Distribution,SALES,02_Order Modification,ALL
Counter,Scott Electric Distribution,SALES,03_Order Review,ALL
Counter,Scott Electric Distribution,SALES,04_Order Copying and Conversion,ALL
Counter,Scott Electric Distribution,SALES,05_Product Management,ALL
Counter,Scott Electric Distribution,SALES,06_Lookup and Inquiry,ALL
Counter,Scott Electric Distribution,SALES,07_Wire Order Placement,ALL
Counter,Scott Electric Distribution,SALES,BATTERY,ALL
Counter M,Scott Electric Distribution,Basics,,ALL
Counter M,Scott Electric Distribution,PJM,01_Basic Bidding Process,NONE
Counter M,Scott Electric Distribution,PJM,04_Customer Quote Creation,NONE
Counter M,Scott Electric Distribution,PURCHASING,,ALL
Counter M,Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,ALL
Counter M,Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,ALL
Counter M,Scott Electric Distribution,PURCHASING,03_Basic Product Line Setup,ALL
Counter M,Scott Electric Distribution,PURCHASING,04_PO Print to Receipt,ALL
Counter M,Scott Electric Distribution,SALES,,ALL
Counter M,Scott Electric Distribution,SALES,01_Order Entry,ALL
Counter M,Scott Electric Distribution,SALES,02_Order Modification,ALL
Counter M,Scott Electric Distribution,SALES,03_Order Review,ALL
Counter M,Scott Electric Distribution,SALES,04_Order Copying and Conversion,ALL
Counter M,Scott Electric Distribution,SALES,05_Product Management,ALL
Counter M,Scott Electric Distribution,SALES,06_Lookup and Inquiry,ALL
Counter M,Scott Electric Distribution,SALES,07_Wire Order Placement,ALL
Counter M,Scott Electric Distribution,SALES,BATTERY,ALL
Customer Service,Scott Electric Distribution,Basics,,ALL
Customer Service,Scott Electric Distribution,PJM,01_Basic Bidding Process,NONE
Customer Service,Scott Electric Distribution,PJM,04_Customer Quote Creation,NONE
Customer Service,Scott Electric Distribution,PURCHASING,,ALL
Customer Service,Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,ALL
Customer Service,Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,ALL
Customer Service,Scott Electric Distribution,PURCHASING,03_Basic Product Line Setup,ALL
Customer Service,Scott Electric Distribution,PURCHASING,04_PO Print to Receipt,ALL
Customer Service,Scott Electric Distribution,SALES,,ALL
Customer Service,Scott Electric Distribution,SALES,01_Order Entry,ALL
Customer Service,Scott Electric Distribution,SALES,02_Order Modification,ALL
Customer Service,Scott Electric Distribution,SALES,03_Order Review,ALL
Customer Service,Scott Electric Distribution,SALES,04_Order Copying and Conversion,ALL
Customer Service,Scott Electric Distribution,SALES,05_Product Management,ALL
Customer Service,Scott Electric Distribution,SALES,06_Lookup and Inquiry,ALL
Customer Service,Scott Electric Distribution,SALES,07_Wire Order Placement,ALL
Customer Service,Scott Electric Distribution,SALES,BATTERY,ALL
Customer Service M,Scott Electric Distribution,Basics,,ALL
Customer Service M,Scott Electric Distribution,PJM,01_Basic Bidding Process,NONE
Customer Service M,Scott Electric Distribution,PJM,04_Customer Quote Creation,NONE
Customer Service M,Scott Electric Distribution,PURCHASING,,ALL
Customer Service M,Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,ALL
