RoleName,Entity,SOP,SubSOP,Coverage,Entity_norm,SOP_norm,SubSOP_norm,RoleName_norm
AR_CLERK,Scott Electric Distribution,FINANCIAL,Accounts Receivable,ALL,Scott Electric Distribution,FINANCIAL,Accounts Receivable,AR_CLERK
AR_CLERK,Scott Electric Distribution,FINANCIAL,Credit,ALL,Scott Electric Distribution,FINANCIAL,Credit,AR_CLERK
AR_CLERK,Scott Electric Distribution,FINANCIAL,General Ledger,ALL,Scott Electric Distribution,FINANCIAL,General Ledger,AR_CLERK
AR_SUP,Scott Electric Distribution,Basics,nan,ALL,Scott Electric Distribution,Basics,nan,AR_SUP
AR_SUP,Scott Electric Distribution,FINANCIAL,nan,ALL,Scott Electric Distribution,FINANCIAL,nan,AR_SUP
AR_SUP,Scott Electric Distribution,FINANCIAL,Accounts Receivable,ALL,Scott Electric Distribution,FINANCIAL,Accounts Receivable,AR_SUP
AR_SUP,Scott Electric Distribution,FINANCIAL,Credit,ALL,Scott Electric Distribution,FINANCIAL,Credit,AR_SUP
AR_SUP,Scott Electric Distribution,FINANCIAL,General Ledger,ALL,Scott Electric Distribution,FINANCIAL,General Ledger,AR_SUP
Cashier,Scott Electric Distribution,Basics,nan,ALL,Scott Electric Distribution,Basics,nan,Cashier
Cashier,Scott Electric Distribution,FINANCIAL,nan,ALL,Scott Electric Distribution,FINANCIAL,nan,Cashier
Cashier,Scott Electric Distribution,FINANCIAL,Accounts Receivable,ALL,Scott Electric Distribution,FINANCIAL,Accounts Receivable,Cashier
Cashier,Scott Electric Distribution,FINANCIAL,Credit,ALL,Scott Electric Distribution,FINANCIAL,Credit,Cashier
Cashier,Scott Electric Distribution,FINANCIAL,General Ledger,ALL,Scott Electric Distribution,FINANCIAL,General Ledger,Cashier
Cashier/Cust Service,Scott Electric Distribution,Basics,nan,ALL,Scott Electric Distribution,Basics,nan,Cashier/Cust Service
Cashier/Cust Service,Scott Electric Distribution,FINANCIAL,nan,ALL,Scott Electric Distribution,FINANCIAL,nan,Cashier/Cust Service
Cashier/Cust Service,Scott Electric Distribution,FINANCIAL,Accounts Payable,ALL,Scott Electric Distribution,FINANCIAL,Accounts Payable,Cashier/Cust Service
Cashier/Cust Service,Scott Electric Distribution,FINANCIAL,Accounts Receivable,ALL,Scott Electric Distribution,FINANCIAL,Accounts Receivable,Cashier/Cust Service
Cashier/Cust Service,Scott Electric Distribution,FINANCIAL,Credit,ALL,Scott Electric Distribution,FINANCIAL,Credit,Cashier/Cust Service
Cashier/Cust Service,Scott Electric Distribution,FINANCIAL,General Ledger,ALL,Scott Electric Distribution,FINANCIAL,General Ledger,Cashier/Cust Service
Cashier/Customer Service,Scott Electric Distribution,Basics,nan,ALL,Scott Electric Distribution,Basics,nan,Cashier/Customer Service
Cashier/Customer Service,Scott Electric Distribution,FINANCIAL,nan,ALL,Scott Electric Distribution,FINANCIAL,nan,Cashier/Customer Service
Cashier/Customer Service,Scott Electric Distribution,FINANCIAL,Accounts Payable,ALL,Scott Electric Distribution,FINANCIAL,Accounts Payable,Cashier/Customer Service
