Module,Entity,SOP,SubSOP,Source_File,Generated_Timestamp
01_View Consolidation Info in Demand Center,SE,PURCHASING,06_Demand Tasks (DEM),/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
02_Merge POs_Print POs_Generate Exception Report,SE,PURCHASING,06_Demand Tasks (DEM),/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
03_Generate IC Admin Review Cycle Adjustment Report,SE,PURCHASING,06_Demand Tasks (DEM),/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
04_Generate IC Admin Inventory Classification and Rank Report,SE,PURCHASING,06_Demand Tasks (DEM),/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
06_Review Exception Processing Center Screen,SE,PURCHASING,06_Demand Tasks (DEM),/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
01_Manual Entry of a Warehouse Transfer,SE,PURCHASING,07_Warehouse Transfers,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
02_Approving a Warehouse Transfer That is on Hold,SE,PURCHASING,07_Warehouse Transfers,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
03_Run the WTERR,SE,PURCHASING,07_Warehouse Transfers,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
04_Maintaining a Warehouse Tranfer,SE,PURCHASING,07_Warehouse Transfers,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
05_Notes on a Warehouse Transfer,SE,PURCHASING,07_Warehouse Transfers,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
06_Canceling a Warehouse Transfer,SE,PURCHASING,07_Warehouse Transfers,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
07_Tying a Warehouse Transfer to a Customer Order,SE,PURCHASING,07_Warehouse Transfers,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
01_How to Use the Quote Modification,SE,PURCHASING,08_Miscellaneous,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
02_Determining Extra Stock to Order,SE,PURCHASING,08_Miscellaneous,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
03_Blanket POs,SE,PURCHASING,08_Miscellaneous,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
04_Accumulative POs,SE,PURCHASING,08_Miscellaneous,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
05_Returning a Core Product,SE,PURCHASING,08_Miscellaneous,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
06_Returning an Acknowledged PO to the Printed Stage,SE,PURCHASING,08_Miscellaneous,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
07_Tying a PO RM to a Sales Order Line,SE,PURCHASING,08_Miscellaneous,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
08_Correcting an Over Under Receipt,SE,PURCHASING,08_Miscellaneous,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
09_Correcting a Wrong Product Receipt,SE,PURCHASING,08_Miscellaneous,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
10_Correcting a Wrong Cost Receipt,SE,PURCHASING,08_Miscellaneous,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
Quiz Level 2 | Sales,SE,SALES,,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
sales order example,SE,SALES,,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
01_Enter Stock Customer Sales Order,SE,SALES,01_Order Entry,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
02_Enter a Quote Order,SE,SALES,01_Order Entry,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
03_Enter a Direct Order,SE,SALES,01_Order Entry,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
04_Enter a Counter Sales Order and Record Tender Payments,SE,SALES,01_Order Entry,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
06_Enter a Non-Stock Product on an Order,SE,SALES,01_Order Entry,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
07_Enter a Return Order,SE,SALES,01_Order Entry,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
01_Add Items to Stock Customer Sales Order,SE,SALES,02_Order Modification,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
"04_Add Comments, Notes to Customer Sales Order",SE,SALES,02_Order Modification,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
"02_Review Taxes, Totals, Payments for Stock Customer Sales Order",SE,SALES,03_Order Review,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
04_View Units of Measure,SE,SALES,03_Order Review,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
01_Copy Quote Order to a Stock Order,SE,SALES,04_Order Copying and Conversion,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
02_Copy Customer Sales Order,SE,SALES,04_Order Copying and Conversion,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
05_Add Special Order Product to Sales Order,SE,SALES,05_Product Management,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
01_Perform Lookups in Customer Sales Order,SE,SALES,06_Lookup and Inquiry,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
02_Use Order Inquiry to Search Orders,SE,SALES,06_Lookup and Inquiry,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
01_Wire Order Placement,SE,SALES,07_Wire Order Placement,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
01_Process Core as Return Merchandise,SE,SALES,BATTERY,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
01_Enter Stock Customer Sales Order -Test,SE,z_PLAYGROUND,,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
APS100 Supplier Invoice Record,SE,z_PLAYGROUND,,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
CREATE INCIDENT,SE,z_PLAYGROUND,,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
Helen's Course,SE,z_PLAYGROUND,,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
Introduction to CSD,SE,z_PLAYGROUND,,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
LMS Exercise Test,SE,z_PLAYGROUND,,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
Quiz Level 1,SE,z_PLAYGROUND,,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
Shims Stock Order Inquiry 2,SE,z_PLAYGROUND,,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
create a stock order,SE,z_PLAYGROUND,,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
