Name,File Name,Parent.Name,Parent.Context
08F_ICSEC Upgrade,08F_ICSEC_UPGRADE.udc,PRICING,CSD > Document Library > PRICING
04_ SASTT - Product Price Type & PDSP -Customer Type/Product Type,04_SASTT_PT_&_PDSP_CT-PT.udc,PRICING,CSD > Document Library > PRICING
10_Add Items to a Count During Count Entry,CO1_SE_Count Cycle_OPM_10_Add Items to a Count During Count Entry_KC.udc,01_Physical or Cycle Count to Count Update,CSD > Document Library > OPERATIONS > 02_Warehouse > 01_Physical or Cycle Count to Count Update
LMS Exercise Test,EXERCISE OE_01 ENTER STOCK CUSTOMER SALES ORDER.docx,z_PLAYGROUND,CSD > Document Library > z_PLAYGROUND
CREATE INCIDENT,CREATE INCIDENT.udc,z_PLAYGROUND,CSD > Document Library > z_PLAYGROUND
11E_PDSP - Level 3 - Customer Type/Product (SPEC.),11E_PDSP_LEVEL3_CUSTOMER_TYPE-PRODUCT(SPEC.).udc,PRICING,CSD > Document Library > PRICING
Shims Stock Order Inquiry 2,Shims Stock Order Inquiry 2.udc,z_PLAYGROUND,CSD > Document Library > z_PLAYGROUND
01_OEET Entering a Stock Customer Sales Order,01_OEET_ENTERING_A_STOCK_CUSTOMER_SALES_ORDER (1).udc,PRICING,CSD > Document Library > PRICING
04_Travel Leaving Site,CO3_PPS_FF04_Travel Leaving Site_KC (1) (1).udc,07_Tech Mobile,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 07_Tech Mobile
11B_PDSP - Level 2 - Customer/Product Price Type,11B_PDSP_LEVEL2_CUSTOMER-PRODUCT_PRICE_TYPE.udc,PRICING,CSD > Document Library > PRICING
07_ICSC - Creating a Catalog Item,07_ICSC_CREATING_A_CATALOG_ITEM.udc,PRICING,CSD > Document Library > PRICING
create a stock order,create a stock order.udc,z_PLAYGROUND,CSD > Document Library > z_PLAYGROUND
06_Print Pick Ticket,06_Print Pick Ticket.udc,Palco Specific Sales,CSD > Document Library > PALCO POWER SYSTEMS > SALES > Palco Specific Sales
15B_SAAMM - Mass Maintenance Import,15B_SAAMM_MASS_MAINTENANCE_IMPORT.udc,PRICING,CSD > Document Library > PRICING
Quiz Level 2 | Purchasing,Quiz Level 2 Purchasing.ulc,PURCHASING,CSD > Document Library > PURCHASING
09_Create Order as Needed Non Stock,CO3_PPS_LL09_Create Order as Needed Non Stock_KC TS.udc,Palco Specific Sales,CSD > Document Library > PALCO POWER SYSTEMS > SALES > Palco Specific Sales
07_Schedule,07_Schedule.udc,START UP,CSD > Document Library > PALCO POWER SYSTEMS > START UP
Introduction to CSD,Introduction to CSD.ulc,z_PLAYGROUND,CSD > Document Library > z_PLAYGROUND
09_Contract Service Template PMA,CO3_PPS_EE09_Contract Service Template PMA_BW_KC.udc,04_ISM Set Up,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 04_ISM Set Up
11C_PDSP - Level 2 - Customer/Product Line,11C_PDSP_LEVEL2_CUSTOMER-PRODUCT_LINE.udc,PRICING,CSD > Document Library > PRICING
24_Tax Adjustment Correction,CO1_SE_SOP_OP24_Tax Adjustment Correction_KC.udc,02_Quote to Cash,CSD > Document Library > FINANCIAL > Accounts Receivable > 02_Quote to Cash
03_Add Material,C03_FF03_Add_Material_07082025_0948_TD.udc,07_Tech Mobile,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 07_Tech Mobile
06_Change Status to Call Back,CO3_PPS_FF06_Change Status to Call Back_KC.udc,07_Tech Mobile,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 07_Tech Mobile
08G_ICSEC Customer Part Number,08G_ICSEC_CUSTOMER_PART_NUMBER.udc,PRICING,CSD > Document Library > PRICING
11I_PDSP - Level 7 - Product (PROMOTION),11I_PDSP_LEVEL7_PRODUCT(PROMOTION).udc,PRICING,CSD > Document Library > PRICING
01_Organize Vendor Quote in Excel for Upload,01_Organize Vendor Quote in Excel for Upload.udc,04_Customer Quote Creation,CSD > Document Library > PJM > 04_Customer Quote Creation
05_Create an SRO Template,05_Create an SRO Template (1).udc,04_ISM Set Up,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 04_ISM Set Up
14_PDEM - Price and Discounting Mass Maintenance Entry,14_PDEM_PRICE_AND_DISCOUNTING_MASS_MAINT_ENTRY.udc,PRICING,CSD > Document Library > PRICING
03_SASTT Creating a Price Class,03_SASST_CREATING_A_PRICE_CLASS.udc,PRICING,CSD > Document Library > PRICING
05_ICSL - Creating a Product Line,05_ICSL_CREATING_A_PRODUCT_LINE.udc,PRICING,CSD > Document Library > PRICING
03_Create the Customer Quote,03_Create the Customer Quote.udc,04_Customer Quote Creation,CSD > Document Library > PJM > 04_Customer Quote Creation
10B_ICSC - Individual Catalog Item Price Update Manually,10B_ICSC_INDIV_ CATALOG_ITEM_PRICE_UPDATE_MANUALLY.udc,PRICING,CSD > Document Library > PRICING
